Period,Total Exports
Monthly,US$  (Millions)
Jun 2024,2433
May 2024,2992
Apr 2024,2634
Mar 2024,2520
Feb 2024,2543
Jan 2024,2692
Dec 2023,2795
Nov 2023,2724
Oct 2023,2764
Sep 2023,2466
Aug 2023,2418
Jul 2023,2118
Jun 2023,2112
May 2023,2568
Apr 2023,2135
Mar 2023,2422
Feb 2023,2199
Jan 2023,2222
Dec 2022,2308
Nov 2022,2248
Oct 2022,2281
Sep 2022,2437
Aug 2022,2734
Jul 2022,2215
Jun 2022,3130
May 2022,2505
Apr 2022,3152
Mar 2022,3071
Feb 2022,2890
Jan 2022,2503
Dec 2021,2930
Nov 2021,2737
Oct 2021,2375
Sep 2021,2627
Aug 2021,2339
Jul 2021,2234
Jun 2021,2492.011247
May 2021,2129.966180
Apr 2021,2303.953925
Mar 2021,2611.007351
Feb 2021,2178.042811
Jan 2021,2100.027326
Dec 2020,2253.004638
Nov 2020,2239
Oct 2020,1969
Sep 2020,1954.988952
Aug 2020,1513.991452
Jul 2020,1884.999593
Jun 2020,1573
May 2020,1258.974929
Apr 2020,1423
Mar 2020,1821
Feb 2020,1996
Jan 2020,2056
Dec 2019,2110
Nov 2019,2113
Oct 2019,2191
Sep 2019,1881
Aug 2019,1896
Jul 2019,2216.963175
Jun 2019,1799.014814
May 2019,2323.019704
Apr 2019,2084.037729
Mar 2019,2036.985732
Feb 2019,1874.951092
Jan 2019,2273.953884
Dec 2018,2012.983651
Nov 2018,1898.013519
Oct 2018,2060.990630
Sep 2018,1805.000196
Aug 2018,2075.042061
Jul 2018,2012.980055
Jun 2018,2014
May 2018,2265
Apr 2018,2235
Mar 2018,2316
Feb 2018,2057
Jan 2018,2090
Dec 2017,2008
Nov 2017,2173
Oct 2017,1960
Sep 2017,1743
Aug 2017,2090
Jul 2017,1817
Jun 2017,1884.000011
May 2017,1978.000034
Apr 2017,1827.024972
Mar 2017,2075.000015
Feb 2017,1796.999986
Jan 2017,1810.999964
Dec 2016,1890.999979
Nov 2016,1860.000044
Oct 2016,1826.024452
Sep 2016,1689.000115
Aug 2016,1857.000003
Jul 2016,1507.999955
Jun 2016,1867.000041
May 2016,1958.995982
Apr 2016,1817.999999
Mar 2016,1988.999997
Feb 2016,1863.999987
Jan 2016,1692.000006
Dec 2015,1946.999984
Nov 2015,1740.000020
Oct 2015,1778.000006
Sep 2015,1821.000011
Aug 2015,1738.000013
Jul 2015,1759.000008
Jun 2015,2111.000041
May 2015,1879.996631
Apr 2015,2066.999950
Mar 2015,2049.000002
Feb 2015,1853.000038
Jan 2015,1963.999995
Dec 2014,2257.000016
Nov 2014,1861.000376
Oct 2014,2087.999964
Sep 2014,2160.999973
Aug 2014,1879.999977
Jul 2014,1918.999975
Jun 2014,2102.069919
May 2014,2132.846336
Apr 2014,2097.099175
Mar 2014,2091.751822
Feb 2014,2058.246858
Jan 2014,2128.851225
Dec 2013,2327.228418
Nov 2013,1819.692744
Oct 2013,2063.164224
Sep 2013,2054.361369
Aug 2013,2008.764082
Jul 2013,2193.818027
Jun 2013,1994.286415
May 2013,2257.868744
Apr 2013,2204.056884
Mar 2013,2176.822179
Feb 2013,1930.162047
Jan 2013,2085.228272
Dec 2012,1859.104831
Nov 2012,2026.908757
Oct 2012,2117.210345
Sep 2012,2100.869898
Aug 2012,2029.573419
Jul 2012,2020.230727
Jun 2012,2050.719440
May 2012,2179.317922
Apr 2012,2138.357602
Mar 2012,2142.478671
Feb 2012,2153.945491
Jan 2012,1973.743964
Dec 2011,2056.121622
Nov 2011,1900.176486
Oct 2011,1969.439942
Sep 2011,1895.066278
Aug 2011,2120.293806
Jul 2011,2138.448885
Jun 2011,2662.159774
May 2011,2239.250092
Apr 2011,2570.718500
Mar 2011,2476.877097
Feb 2011,2260.492702
Jan 2011,2038.648727
Dec 2010,2075.688924
Nov 2010,1934.897509
Oct 2010,1840.885774
Sep 2010,1796.048313
Aug 2010,1818.664662
Jul 2010,1654.220688
Jun 2010,1789.322500
May 2010,1716.784197
Apr 2010,1819.147641
Mar 2010,1855.691416
Feb 2010,1543.266097
Jan 2010,1636.035184
