Period ,Total Loan
Monthly,PKR (Millions)
Aug 2023,511497
Jul 2023,500875
Jun 2023,520217
May 2023,518961
Apr 2023,520467
Mar 2023,526700
Feb 2023,537517
Jan 2023,565740
Dec 2022,586972
Nov 2022,562154
Oct 2022,531524
Sep 2022,530846
Aug 2022,525326
Jul 2022,529720
Jun 2022,556671.744000
May 2022,537376.854000
Apr 2022,512628
Mar 2022,525210.123000
Feb 2022,524740.928000
Jan 2022,527410
Dec 2021,542121
Nov 2021,511680
Oct 2021,483500
Sep 2021,470239
Aug 2021,452635.082000
Jul 2021,452097.050000
Jun 2021,469165.503000
May 2021,457927.769000
Apr 2021,492262.067000
Mar 2021,472443.790000
Feb 2021,474985.844000
Jan 2021,474935.061000
Dec 2020,490587.516000
Nov 2020,468693.396000
Oct 2020,434210.065000
Sep 2020,415401.758000
Aug 2020,406871.110000
Jul 2020,411844.691000
Jun 2020,441175.034000
May 2020,433548
Apr 2020,445843
Mar 2020,450963
Feb 2020,455820
Jan 2020,471014
Dec 2019,514128
Nov 2019,476236
Oct 2019,462173
Sep 2019,461123
Aug 2019,445772
Jul 2019,461870
Jun 2019,493056
May 2019,490398
Apr 2019,437111
Mar 2019,443237
Feb 2019,451024
Jan 2019,442659
Dec 2018,471863
Nov 2018,431852
Oct 2018,403234
Sep 2018,382789
Aug 2018,369742
Jul 2018,375192
Jun 2018,393192
May 2018,378251
Apr 2018,380055
Mar 2018,390821
Feb 2018,394200
Jan 2018,405775
Dec 2017,417765
Nov 2017,414372
Oct 2017,375710
Sep 2017,367584
Aug 2017,352561
Jul 2017,354810
Jun 2017,368257
May 2017,360070
Apr 2017,359867
Mar 2017,357410
Feb 2017,358221
Jan 2017,363881
Dec 2016,381110
Nov 2016,353463
Oct 2016,330417
Sep 2016,320365
Aug 2016,303117
Jul 2016,281330
Jun 2016,293652
May 2016,273867
Apr 2016,268258
Mar 2016,272380
Feb 2016,275132
Jan 2016,283242
Dec 2015,291851
